id,female,advers,VS.1,VS.2,VS.3,VS.4,VS.5,EXT.1,EXT.2,EXT.3,EXT.4,EXT.5
32,0,0,6.190476191,9.047619048,7.142857143,7.142857143,7.386370798,1.08333325,1.805555417,2.1666665,1.444444333,2.265976054
33,1,0,5.238095238,7.142857143,5.714285714,6.190476191,7.161300911,2.1666665,2.888888667,3.24999975,3.24999975,2.090755848
34,0,0,7.619047619,6.666666667,6.190476191,6.666666667,6.04640668,2.527777583,2.888888667,3.24999975,3.24999975,3.827717538
35,0,0,7.619047619,6.190476191,5.238095238,4.285714286,5.112142247,2.527777583,1.805555417,2.888888667,2.527777583,1.997288997
36,1,0,8.095238095,7.142857143,6.666666667,8.095238095,8.024631675,2.1666665,3.611110833,3.24999975,3.972221917,5.116387557
37,0,0,6.666666667,9.047619048,9.047619048,7.619047619,8.081495485,2.527777583,2.1666665,2.888888667,3.972221917,3.307414271
38,0,1,8.095238095,7.619047619,7.142857143,8.095238095,7.466513838,NA,3.24999975,2.888888667,1.805555417,1.952559154
39,0,1,8.095238095,7.142857143,6.666666667,8.095238095,9.938091845,2.1666665,3.611110833,2.1666665,2.527777583,2.191584197
40,0,1,6.666666667,NA,NA,4.761904762,6.599041381,2.888888667,3.611110833,NA,NA,NA
41,1,1,7.619047619,7.142857143,7.142857143,8.095238095,7.143934287,1.444444333,3.611110833,2.527777583,2.888888667,3.299055751
42,1,1,6.666666667,8.571428571,8.571428571,9.523809524,8.711833865,3.24999975,3.24999975,2.888888667,2.888888667,2.019443842
43,1,0,8.095238095,NA,7.142857143,9.523809524,7.91728621,0.361111083,1.444444333,1.444444333,1.444444333,1.213707542
44,1,1,6.190476191,8.571428571,8.095238095,6.190476191,7.573395146,2.1666665,2.1666665,2.888888667,2.888888667,3.140603153
45,1,1,6.666666667,7.142857143,4.761904762,7.142857143,6.41463476,0.722222167,2.1666665,2.1666665,2.527777583,3.146314099
46,1,0,6.666666667,5.714285714,6.666666667,7.142857143,6.695087053,2.1666665,0,1.08333325,1.805555417,0.870887393
47,1,0,6.666666667,5.714285714,7.142857143,8.095238095,6.47947751,0.722222167,1.444444333,2.1666665,1.805555417,5.301012525
48,1,0,7.142857143,4.761904762,7.142857143,8.095238095,8.872087092,1.08333325,1.444444333,2.1666665,1.805555417,1.811197072
49,1,0,6.666666667,7.142857143,6.666666667,6.190476191,6.051091856,0.722222167,1.444444333,0.722222167,1.805555417,2.423805735
50,1,1,7.619047619,7.142857143,6.666666667,9.523809524,10.43603695,2.1666665,3.611110833,1.444444333,NA,NA
51,0,0,6.190476191,4.761904762,6.666666667,7.142857143,6.977888078,3.24999975,2.527777583,1.444444333,2.1666665,2.281407825
52,1,0,8.095238095,7.142857143,6.666666667,8.095238095,7.863140991,0.722222167,0.722222167,2.1666665,2.527777583,2.225391081
53,1,0,7.619047619,6.666666667,6.190476191,6.190476191,5.449492013,2.527777583,3.24999975,3.24999975,3.611110833,5.531414476
54,0,0,6.190476191,9.047619048,7.142857143,7.142857143,6.546452302,2.527777583,2.888888667,3.24999975,3.24999975,3.543267584
55,0,0,7.142857143,6.666666667,7.142857143,8.095238095,7.449520543,1.805555417,1.08333325,2.1666665,2.1666665,2.352329653
56,1,0,7.142857143,4.761904762,5.714285714,5.714285714,6.791264328,2.1666665,2.1666665,1.444444333,2.888888667,2.040929219
57,0,1,6.666666667,6.190476191,6.190476191,5.714285714,5.94638215,1.08333325,1.444444333,0.722222167,2.1666665,2.46433638
58,1,0,7.142857143,9.047619048,8.571428571,10,9.903216795,1.805555417,2.527777583,2.1666665,2.1666665,0.056961312
59,1,1,7.142857143,9.047619048,9.047619048,10,8.987921762,1.805555417,NA,2.888888667,1.805555417,4.330093868
60,0,0,4.761904762,4.285714286,6.666666667,5.714285714,6.465784766,2.888888667,2.888888667,3.24999975,2.527777583,3.001391539
61,0,1,5.714285714,5.714285714,6.666666667,6.666666667,6.88461191,2.1666665,2.527777583,1.805555417,2.527777583,0.698134917
62,1,1,4.761904762,7.619047619,8.095238095,6.666666667,8.300670235,2.1666665,1.805555417,2.527777583,1.805555417,2.03073228
63,1,0,4.761904762,4.285714286,1.904761905,4.285714286,4.255517024,2.888888667,3.611110833,3.972221917,3.24999975,4.123472955
64,1,0,5.714285714,5.714285714,7.142857143,9.047619048,6.955492351,3.611110833,3.972221917,3.972221917,3.972221917,3.66858296
65,1,1,6.666666667,8.571428571,5.714285714,6.666666667,6.128166238,2.1666665,2.1666665,3.24999975,2.1666665,2.060455482
66,1,0,5.238095238,6.666666667,6.190476191,7.619047619,7.555028699,3.611110833,3.972221917,3.972221917,3.972221917,4.363968372
67,1,0,5.714285714,6.190476191,4.761904762,5.714285714,7.677581912,1.805555417,2.1666665,1.805555417,1.805555417,2.65156958
68,1,0,1.904761905,4.285714286,4.285714286,3.333333333,3.914997308,NA,2.1666665,1.444444333,2.1666665,3.300694993
69,0,1,5.714285714,6.190476191,4.761904762,4.761904762,5.15790415,NA,2.1666665,1.444444333,1.08333325,1.374888573
70,0,0,2.857142857,4.285714286,6.666666667,5.714285714,6.225437069,2.1666665,2.888888667,1.805555417,2.888888667,2.572814306
71,0,0,5.714285714,3.80952381,6.666666667,5.238095238,6.900724648,2.1666665,2.888888667,3.24999975,2.527777583,3.725873957
72,1,0,2.857142857,7.619047619,NA,4.285714286,4.734099048,2.1666665,1.444444333,NA,0.361111083,1.671184257
73,1,0,5.238095238,3.80952381,4.761904762,7.142857143,6.591767659,NA,NA,2.1666665,3.24999975,3.468553648
74,0,0,5.238095238,6.666666667,6.190476191,6.666666667,8.173512738,2.527777583,3.24999975,3.24999975,3.24999975,2.575755627
75,1,1,3.333333333,4.761904762,5.238095238,2.857142857,4.365442774,1.08333325,2.527777583,1.444444333,1.805555417,2.190566351
76,1,1,9.047619048,9.047619048,9.047619048,8.095238095,9.496146431,3.611110833,2.888888667,2.1666665,2.888888667,1.993255721
77,1,1,7.142857143,9.047619048,9.047619048,10,8.016318,1.805555417,2.527777583,2.888888667,2.888888667,3.941554044
78,0,1,6.190476191,6.190476191,5.238095238,7.142857143,8.08292833,1.805555417,0,NA,NA,NA
79,0,1,6.190476191,4.761904762,4.761904762,7.142857143,6.370453429,2.888888667,3.24999975,3.972221917,3.972221917,3.776742488
80,0,0,6.666666667,6.190476191,7.619047619,7.142857143,6.198933848,1.08333325,1.805555417,1.444444333,1.444444333,1.154399488
81,1,0,6.190476191,6.666666667,4.761904762,7.142857143,7.585585765,2.888888667,1.444444333,0.361111083,2.527777583,1.17675397
82,0,1,6.190476191,6.190476191,5.238095238,6.666666667,5.861338611,1.805555417,2.1666665,1.805555417,2.1666665,3.100356694
83,1,1,7.142857143,8.095238095,7.619047619,9.047619048,8.203113877,2.1666665,3.24999975,1.444444333,1.805555417,3.590817611
84,0,0,5.714285714,6.190476191,6.190476191,7.142857143,8.143132105,3.24999975,2.527777583,2.888888667,3.972221917,4.497126594
85,1,1,8.095238095,7.619047619,NA,NA,NA,NA,3.24999975,3.972221917,2.888888667,1.168550015
86,1,1,7.142857143,9.047619048,9.047619048,9.047619048,9.352952269,1.805555417,2.1666665,2.888888667,2.527777583,3.38965707
87,1,0,6.666666667,6.666666667,5.714285714,6.666666667,7.524447343,2.888888667,2.888888667,3.24999975,2.888888667,3.741264665
88,1,1,9.047619048,10,9.047619048,9.523809524,9.164979764,1.805555417,2.888888667,NA,NA,NA
89,1,0,9.047619048,7.142857143,6.666666667,7.619047619,8.076706807,3.611110833,3.24999975,3.24999975,3.611110833,3.636839393
90,1,1,3.333333333,4.761904762,4.285714286,1.428571429,3.318588038,1.444444333,2.527777583,1.805555417,2.1666665,3.350056496
91,0,0,6.190476191,9.047619048,8.095238095,7.142857143,7.512003171,2.888888667,2.527777583,3.24999975,2.888888667,2.300806689
92,1,1,7.142857143,7.142857143,6.666666667,7.619047619,7.724694309,3.611110833,3.24999975,2.888888667,2.888888667,3.765526126
93,1,1,7.142857143,9.047619048,8.571428571,10,9.509519354,2.888888667,3.24999975,3.24999975,3.24999975,1.374319223
94,1,0,8.095238095,6.190476191,5.714285714,6.666666667,7.3413667,2.1666665,2.1666665,NA,NA,NA
95,0,1,7.619047619,5.714285714,7.142857143,7.619047619,9.304612698,1.805555417,3.611110833,2.888888667,2.888888667,1.65099717
96,0,1,9.047619048,10,9.047619048,10,11.78585708,2.888888667,2.888888667,2.527777583,2.527777583,3.112958665
97,0,0,6.190476191,6.190476191,6.666666667,6.666666667,6.948667111,3.24999975,3.972221917,3.611110833,3.611110833,4.347712665
98,0,1,7.619047619,6.666666667,6.190476191,7.142857143,7.388535666,2.1666665,3.611110833,3.24999975,3.611110833,2.954467785
99,0,1,6.190476191,5.238095238,NA,5.238095238,4.785724662,1.444444333,1.805555417,NA,1.08333325,1.063272078
100,0,0,6.190476191,7.619047619,9.047619048,7.619047619,7.344247187,2.888888667,3.24999975,2.888888667,1.805555417,0.271180918
101,1,0,5.238095238,6.666666667,7.619047619,8.095238095,8.135499466,3.611110833,3.972221917,3.611110833,3.611110833,3.983232096
102,0,1,7.619047619,6.666666667,6.190476191,6.666666667,7.849788084,2.527777583,2.888888667,2.527777583,2.888888667,3.060139373
103,1,0,5.238095238,4.285714286,3.333333333,6.666666667,4.680735301,1.805555417,1.805555417,1.444444333,2.1666665,1.931779458
104,1,0,5.238095238,4.285714286,NA,6.666666667,6.069938201,1.805555417,0,NA,2.1666665,0.858447237
105,0,1,5.238095238,6.666666667,6.190476191,4.761904762,4.988116299,0,NA,NA,NA,NA
106,0,0,5.238095238,6.666666667,6.190476191,6.666666667,6.240784614,1.444444333,1.805555417,1.444444333,0.722222167,0.373169447
107,0,1,5.714285714,5.714285714,7.142857143,6.666666667,6.732757587,1.805555417,2.527777583,1.805555417,2.1666665,2.333339607
108,0,0,5.238095238,5.714285714,7.619047619,7.619047619,8.838792268,1.805555417,2.1666665,1.444444333,1.805555417,2.273083193
109,0,1,5.714285714,6.190476191,5.238095238,5.714285714,5.277909191,NA,1.444444333,0.722222167,1.08333325,2.88095742
110,0,1,6.190476191,5.238095238,4.285714286,5.714285714,5.361390282,0,2.1666665,2.888888667,2.527777583,0.812619221
111,0,0,5.714285714,5.714285714,6.190476191,5.238095238,8.029303104,2.1666665,1.805555417,2.1666665,1.08333325,1.556691272
112,0,1,5.714285714,5.714285714,6.666666667,7.142857143,6.811991831,1.805555417,2.1666665,2.1666665,1.805555417,1.31861545
113,0,1,6.190476191,5.238095238,5.714285714,6.190476191,7.276489268,3.24999975,2.888888667,2.1666665,2.888888667,2.94707423
114,0,0,6.666666667,9.047619048,8.571428571,8.571428571,9.907950797,2.888888667,2.888888667,2.888888667,2.888888667,3.476270062
115,0,0,5.238095238,6.666666667,6.190476191,4.761904762,4.562980901,2.1666665,1.805555417,2.1666665,0.722222167,1.582222774
116,0,0,5.714285714,6.190476191,5.238095238,5.714285714,5.254208741,2.1666665,2.1666665,1.805555417,2.888888667,2.680772574
117,0,1,4.761904762,5.714285714,7.619047619,7.619047619,8.456218127,2.888888667,2.888888667,2.527777583,3.24999975,2.580656572
118,0,1,6.666666667,5.238095238,7.142857143,7.619047619,9.371659238,3.24999975,3.24999975,3.611110833,3.972221917,2.820977204
119,0,1,6.190476191,5.714285714,4.285714286,5.714285714,5.523968982,2.527777583,3.24999975,2.527777583,2.527777583,2.624926953
120,0,1,6.190476191,5.714285714,5.714285714,6.666666667,7.180039497,1.805555417,2.1666665,1.805555417,1.805555417,3.12239735
121,0,1,6.666666667,5.714285714,9.047619048,8.571428571,8.44874842,2.888888667,3.24999975,3.24999975,3.972221917,2.423701257
122,1,0,5.714285714,6.190476191,6.190476191,6.666666667,6.211750663,2.527777583,3.24999975,2.888888667,2.888888667,4.103482213
123,1,0,5.714285714,7.619047619,NA,7.142857143,8.012137497,2.888888667,3.611110833,NA,NA,NA
124,1,0,5.238095238,3.80952381,3.80952381,6.666666667,5.007184656,3.611110833,3.611110833,3.611110833,3.972221917,2.994081544
125,1,1,6.190476191,6.666666667,7.142857143,6.666666667,7.715403248,2.888888667,2.527777583,3.24999975,3.972221917,4.804863664
126,1,0,5.238095238,3.80952381,3.333333333,6.666666667,4.902416332,1.805555417,1.805555417,1.805555417,2.888888667,2.590902328
127,1,1,7.142857143,6.666666667,8.571428571,10,9.112093846,2.888888667,3.24999975,3.24999975,3.611110833,1.358658184
128,1,0,3.80952381,5.714285714,5.238095238,4.761904762,5.78561132,2.1666665,1.805555417,2.1666665,0.722222167,-0.048110116
129,1,0,3.80952381,4.285714286,3.333333333,4.761904762,3.281744935,2.1666665,1.805555417,NA,NA,NA
130,1,0,3.80952381,5.714285714,6.190476191,5.714285714,7.295521792,2.1666665,0,NA,NA,NA
131,1,0,4.285714286,6.666666667,7.619047619,6.190476191,7.788216159,2.888888667,2.527777583,2.888888667,2.527777583,3.353844061
132,1,0,3.80952381,6.666666667,7.619047619,6.190476191,7.565861476,1.08333325,0.361111083,NA,NA,NA
133,1,0,3.333333333,3.333333333,4.285714286,2.380952381,1.218615784,2.1666665,2.888888667,1.805555417,2.888888667,3.537561275
134,1,0,3.80952381,NA,7.619047619,7.619047619,7.386470392,1.08333325,0,NA,NA,NA
135,0,1,5.714285714,5.714285714,6.666666667,6.666666667,5.714508156,NA,1.444444333,0,NA,NA
136,0,1,5.714285714,6.190476191,4.761904762,4.761904762,5.222917646,1.444444333,2.1666665,1.444444333,1.444444333,1.766349117
137,0,1,9.047619048,10,9.047619048,10,9.327624127,2.527777583,1.805555417,2.1666665,NA,NA
138,0,1,5.238095238,6.666666667,5.714285714,6.666666667,5.794508483,2.888888667,2.888888667,2.527777583,2.527777583,2.997152737
139,0,0,5.714285714,6.666666667,6.190476191,6.190476191,5.797250832,1.805555417,2.1666665,1.08333325,2.1666665,0.65357483
140,0,0,3.333333333,1.904761905,NA,6.190476191,4.964993724,1.805555417,2.527777583,1.805555417,1.805555417,0.596052681
141,0,1,5.714285714,5.714285714,6.666666667,5.714285714,5.926860324,2.1666665,2.527777583,1.805555417,2.888888667,4.437310653
142,0,0,3.333333333,NA,6.666666667,4.761904762,4.53024636,0,0.722222167,0,NA,NA
143,0,0,7.142857143,7.619047619,7.142857143,8.571428571,8.944581651,1.805555417,2.527777583,1.444444333,2.888888667,2.596892958
144,0,1,5.238095238,4.761904762,7.142857143,7.142857143,8.339959788,3.24999975,3.24999975,3.611110833,3.972221917,6.25440105
145,0,1,5.714285714,6.666666667,5.238095238,5.238095238,6.719772595,0.722222167,1.805555417,1.08333325,1.08333325,0.948493994
146,0,0,3.80952381,6.666666667,8.095238095,7.619047619,7.184033138,1.805555417,1.805555417,1.444444333,2.1666665,-0.351652139
147,0,0,5.238095238,6.666666667,7.619047619,7.142857143,9.439095713,2.888888667,2.527777583,3.24999975,2.888888667,3.472668439
148,0,1,6.190476191,5.238095238,5.714285714,5.714285714,6.707417679,NA,1.805555417,1.805555417,1.08333325,2.403600489
149,0,0,5.238095238,4.761904762,5.238095238,5.714285714,5.7506027,2.888888667,1.444444333,2.888888667,2.527777583,2.928325218
150,1,0,3.80952381,5.714285714,8.095238095,6.190476191,6.995428073,2.527777583,3.24999975,2.888888667,2.888888667,4.148308193
151,1,0,5.714285714,6.190476191,4.761904762,5.714285714,7.316548071,1.805555417,1.805555417,1.444444333,1.444444333,3.173484382
152,0,1,7.142857143,6.666666667,6.666666667,8.095238095,6.402795945,1.805555417,2.1666665,2.527777583,3.24999975,1.519132392
153,1,0,3.80952381,5.238095238,7.619047619,7.142857143,8.147720311,1.444444333,1.805555417,1.444444333,1.444444333,1.500418298
154,0,0,4.285714286,NA,6.666666667,6.666666667,8.166533338,1.805555417,1.444444333,0.361111083,1.444444333,2.558531145
155,1,0,5.238095238,3.80952381,3.333333333,6.666666667,4.127595632,1.805555417,1.805555417,1.805555417,2.888888667,2.10062074
156,0,1,5.714285714,4.761904762,4.285714286,5.238095238,4.864115611,2.888888667,2.1666665,3.24999975,3.972221917,4.387455233
157,0,1,7.142857143,6.666666667,6.666666667,7.619047619,6.855899232,2.527777583,2.888888667,1.444444333,NA,NA
158,1,0,3.80952381,4.285714286,4.761904762,6.190476191,4.225456904,1.805555417,1.805555417,2.527777583,2.888888667,3.538793075
159,0,1,4.285714286,5.238095238,8.095238095,7.142857143,6.403606819,3.24999975,3.24999975,3.24999975,3.972221917,3.385767785
160,0,1,5.238095238,3.80952381,7.142857143,7.142857143,7.829779954,2.888888667,2.527777583,2.888888667,3.24999975,2.779879059
161,0,0,6.666666667,4.761904762,9.047619048,8.571428571,7.311664158,2.1666665,0.361111083,2.888888667,2.527777583,3.31132054
162,0,1,5.714285714,6.666666667,6.190476191,7.619047619,6.665463618,2.527777583,3.24999975,3.24999975,3.611110833,4.161011085
163,0,1,5.714285714,6.666666667,5.238095238,4.761904762,4.883587466,0.722222167,2.1666665,1.08333325,2.1666665,0.999037973
164,0,0,6.666666667,9.047619048,8.571428571,7.619047619,9.359840514,1.444444333,2.888888667,2.527777583,1.805555417,3.486001474
165,0,0,4.761904762,5.238095238,8.095238095,6.666666667,6.08538183,2.888888667,2.527777583,3.24999975,2.888888667,1.177242904
166,0,1,6.190476191,5.714285714,5.714285714,5.714285714,6.680591401,1.444444333,1.805555417,2.888888667,1.805555417,3.740173864
167,0,1,6.190476191,5.714285714,5.714285714,5.714285714,4.590112845,1.444444333,1.805555417,1.444444333,1.444444333,0.984088545
168,0,0,3.80952381,5.714285714,6.190476191,5.238095238,5.956812335,0,0.361111083,0,NA,NA
169,0,0,3.80952381,5.714285714,6.190476191,4.761904762,4.94719679,2.1666665,1.805555417,2.1666665,0.722222167,2.302080886
170,0,0,5.714285714,8.571428571,NA,6.190476191,8.712135866,2.1666665,2.1666665,NA,2.527777583,3.031873721
171,0,0,7.142857143,7.619047619,6.666666667,8.095238095,6.41275962,1.805555417,1.805555417,1.444444333,NA,NA
172,0,1,6.666666667,6.190476191,8.095238095,8.571428571,8.744012229,1.805555417,2.527777583,2.888888667,3.24999975,3.142899207
173,0,0,7.142857143,6.666666667,6.666666667,9.523809524,7.696383696,2.888888667,2.1666665,2.527777583,2.888888667,2.07078042
174,1,1,6.190476191,6.666666667,7.142857143,3.80952381,7.016781644,2.1666665,2.527777583,2.888888667,2.527777583,2.428912292
175,1,1,5.714285714,6.666666667,5.238095238,7.142857143,6.668262876,2.888888667,2.888888667,3.24999975,3.972221917,3.269277661
176,1,1,6.190476191,7.142857143,6.666666667,7.619047619,8.250328218,2.888888667,3.24999975,3.24999975,3.611110833,5.087684469
177,1,1,4.285714286,4.761904762,4.761904762,7.142857143,7.450763595,2.527777583,3.24999975,2.1666665,3.24999975,4.86878991
178,1,0,6.190476191,6.190476191,6.666666667,6.666666667,6.195905678,3.24999975,2.888888667,2.1666665,2.888888667,3.714305103
179,1,0,6.190476191,5.714285714,8.095238095,6.190476191,8.151349311,2.888888667,2.888888667,2.527777583,2.527777583,2.526816776
180,1,0,6.190476191,5.714285714,4.285714286,4.285714286,4.17482234,2.1666665,2.527777583,1.805555417,2.527777583,2.87642109
181,0,0,4.285714286,4.285714286,4.761904762,8.571428571,7.073715788,1.805555417,2.1666665,2.1666665,1.805555417,2.586207832
182,0,1,7.619047619,8.571428571,5.714285714,8.095238095,7.576999759,2.1666665,2.1666665,2.1666665,1.805555417,-0.090530191
183,0,1,7.619047619,5.714285714,9.047619048,8.571428571,7.416427405,1.444444333,3.611110833,2.527777583,2.527777583,2.665824919
184,0,1,10,10,8.571428571,10,9.892470974,2.527777583,2.1666665,2.527777583,1.805555417,2.898888902
185,0,0,8.095238095,6.666666667,6.666666667,7.619047619,6.862055296,2.1666665,2.527777583,1.805555417,NA,NA
186,0,0,4.285714286,NA,9.047619048,7.619047619,6.33283352,1.444444333,1.805555417,1.444444333,2.1666665,3.622062978
187,0,0,5.714285714,8.571428571,7.142857143,3.80952381,5.456573246,1.805555417,1.444444333,0.722222167,0.361111083,0.972162687
188,0,0,7.142857143,7.619047619,7.142857143,7.619047619,7.663486354,2.527777583,2.888888667,2.888888667,3.24999975,3.747433801
189,0,0,8.095238095,5.714285714,6.666666667,6.190476191,7.031022906,2.527777583,2.1666665,1.805555417,2.888888667,3.648215152
190,0,0,4.761904762,5.714285714,4.761904762,4.761904762,4.787749637,2.888888667,2.1666665,2.888888667,3.24999975,3.509378441
191,0,0,5.714285714,6.666666667,5.238095238,NA,NA,2.1666665,1.805555417,1.805555417,NA,NA
192,0,0,5.714285714,6.666666667,4.761904762,4.761904762,6.263244749,1.805555417,2.1666665,1.08333325,2.1666665,1.412523352
193,0,0,5.714285714,5.714285714,8.095238095,7.142857143,6.376255799,1.805555417,2.527777583,2.1666665,1.805555417,1.524237689
194,0,1,6.666666667,6.666666667,5.714285714,7.142857143,8.206262874,3.611110833,3.611110833,3.611110833,3.972221917,4.356126613
195,0,0,7.142857143,3.80952381,9.047619048,8.571428571,7.744608756,2.888888667,2.527777583,2.888888667,3.24999975,3.849685781
196,0,0,5.714285714,6.190476191,6.190476191,8.095238095,7.769612095,2.888888667,3.611110833,2.888888667,2.888888667,2.545171178
197,0,0,5.714285714,5.714285714,6.190476191,4.761904762,5.835333595,2.1666665,2.1666665,1.805555417,2.527777583,2.12964275
198,0,1,5.714285714,6.666666667,4.761904762,5.238095238,5.331157829,2.527777583,2.888888667,2.888888667,3.24999975,2.356812241
199,1,0,7.142857143,6.190476191,6.190476191,5.714285714,7.274834618,2.1666665,2.1666665,2.1666665,2.527777583,1.75779445
200,1,0,7.142857143,5.238095238,4.761904762,8.571428571,8.875982066,3.972221917,3.611110833,2.527777583,3.24999975,3.894233154
201,0,0,4.285714286,4.761904762,4.761904762,7.142857143,6.856182791,1.805555417,2.527777583,2.1666665,1.444444333,2.15815389
202,0,0,7.142857143,7.142857143,6.666666667,10,9.247009531,NA,1.805555417,2.1666665,3.24999975,2.619739137
203,0,0,5.714285714,6.190476191,4.761904762,4.761904762,5.637498388,2.1666665,2.1666665,1.805555417,3.611110833,1.282305977
204,0,0,5.714285714,4.761904762,6.190476191,5.714285714,5.455599592,NA,1.805555417,1.805555417,0.722222167,1.453954714
205,0,0,5.714285714,5.714285714,6.190476191,4.761904762,6.304434255,1.08333325,1.805555417,1.805555417,0.722222167,3.713392519
206,0,0,7.142857143,7.142857143,7.142857143,7.619047619,5.601800986,2.527777583,3.611110833,2.527777583,2.527777583,2.347876632
207,0,1,6.666666667,6.666666667,6.666666667,6.190476191,8.030718024,2.888888667,2.1666665,2.888888667,3.972221917,3.448515237
208,0,0,5.714285714,6.666666667,6.190476191,7.619047619,7.414223458,1.805555417,1.805555417,1.444444333,1.08333325,1.678460818
209,0,0,4.761904762,4.285714286,2.857142857,6.666666667,4.009315592,1.805555417,0,0.722222167,2.1666665,1.187786697
210,1,1,4.285714286,4.761904762,3.80952381,6.666666667,7.637838138,1.805555417,1.805555417,1.805555417,2.1666665,2.975201788
211,1,0,7.142857143,8.571428571,8.571428571,10,9.797223773,2.1666665,2.888888667,2.527777583,3.611110833,4.438751668
212,1,1,5.714285714,6.666666667,4.761904762,7.142857143,7.130381016,2.888888667,2.1666665,2.888888667,2.1666665,2.660762874
213,1,1,4.285714286,6.190476191,5.714285714,6.190476191,6.914410677,2.888888667,3.24999975,2.888888667,2.888888667,1.765046667
214,0,1,8.095238095,3.80952381,4.761904762,7.142857143,4.365710596,0.361111083,1.805555417,2.888888667,1.805555417,1.930324542
215,1,0,7.142857143,6.666666667,8.571428571,10,8.73839923,2.888888667,2.527777583,2.888888667,3.24999975,2.331583073
216,0,0,7.142857143,NA,4.285714286,7.142857143,6.327392258,1.08333325,1.805555417,2.1666665,2.1666665,1.350343594
217,1,1,4.761904762,5.714285714,5.714285714,6.666666667,7.344089863,3.24999975,3.611110833,3.611110833,3.611110833,5.001870088
